Alaska,ED 22, Write-ins,WRI,77,False
Alaska,ED 22,Jesse Ventura,GRN,46,False
Alaska,ED 22,Brock Pierce,IND,18,False
Alaska,ED 22,Don Blankenship,CST,16,False
Alaska,ED 22,Rocky De La Fuente,ALI,3,False
Alaska,ED 23,Joe Biden,DEM,3810,True
Alaska,ED 23,Donald Trump,REP,3655,False
Alaska,ED 23,Jo Jorgensen,LIB,170,False
Alaska,ED 23, Write-ins,WRI,57,False
Alaska,ED 23,Jesse Ventura,GRN,53,False
Alaska,ED 23,Don Blankenship,CST,22,False
Alaska,ED 23,Brock Pierce,IND,16,False
Alaska,ED 23,Rocky De La Fuente,ALI,13,False
Alaska,ED 24,Donald Trump,REP,5378,True
Alaska,ED 24,Joe Biden,DEM,4736,False
Alaska,ED 24,Jo Jorgensen,LIB,222,False
Alaska,ED 24, Write-ins,WRI,56,False
Alaska,ED 24,Jesse Ventura,GRN,46,False
Alaska,ED 24,Brock Pierce,IND,24,False
Alaska,ED 24,Don Blankenship,CST,15,False
Alaska,ED 24,Rocky De La Fuente,ALI,7,False
Alaska,ED 25,Joe Biden,DEM,4600,True
Alaska,ED 25,Donald Trump,REP,4407,False
Alaska,ED 25,Jo Jorgensen,LIB,201,False
Alaska,ED 25,Jesse Ventura,GRN,67,False
Alaska,ED 25, Write-ins,WRI,44,False
Alaska,ED 25,Don Blankenship,CST,21,False
Alaska,ED 25,Rocky De La Fuente,ALI,15,False
Alaska,ED 25,Brock Pierce,IND,14,False
Alaska,ED 26, Write-ins,WRI,10181,True
Alaska,ED 26,Donald Trump,REP,5243,False
Alaska,ED 26,Joe Biden,DEM,4558,False
Alaska,ED 26,Jo Jorgensen,LIB,207,False
Alaska,ED 26,Jesse Ventura,GRN,55,False
Alaska,ED 26,Don Blankenship,CST,23,False
Alaska,ED 26,Brock Pierce,IND,23,False
Alaska,ED 26,Rocky De La Fuente,ALI,2,False
Alaska,ED 27, Write-ins,WRI,9531,True
Alaska,ED 27,Joe Biden,DEM,4844,False
Alaska,ED 27,Donald Trump,REP,4324,False
Alaska,ED 27,Jo Jorgensen,LIB,228,False
Alaska,ED 27,Jesse Ventura,GRN,59,False
Alaska,ED 27,Brock Pierce,IND,24,False
Alaska,ED 27,Don Blankenship,CST,21,False
Alaska,ED 27,Rocky De La Fuente,ALI,6,False
Alaska,ED 28, Write-ins,WRI,12831,True
Alaska,ED 28,Joe Biden,DEM,6264,False
Alaska,ED 28,Donald Trump,REP,6162,False
Alaska,ED 28,Jo Jorgensen,LIB,219,False
Alaska,ED 28,Jesse Ventura,GRN,69,False
Alaska,ED 28,Don Blankenship,CST,16,False
Alaska,ED 28,Brock Pierce,IND,16,False
Alaska,ED 28,Rocky De La Fuente,ALI,3,False
Alaska,ED 29,Donald Trump,REP,7464,True
Alaska,ED 29,Joe Biden,DEM,2985,False
Alaska,ED 29,Jo Jorgensen,LIB,190,False
